DEPT,DPHI,NPHI,GR,CALI,ILD
537,0.222,0.406,70.932,291.784,4.991
537.25,0.215,0.39,68.913,292.047,4.94
537.5,0.233,0.396,68.511,292.109,4.89
537.75,0.232,0.423,71.329,292.05,4.867
538,0.218,0.448,74.771,292.102,4.871
538.25,0.2,0.429,76.415,292.157,4.839
538.5,0.183,0.443,76.386,292.317,4.78
538.75,0.197,0.46,76.667,292.673,4.662
539,0.215,0.427,76.201,292.624,4.596
539.25,0.225,0.416,73.443,292.564,4.465
539.5,0.236,0.434,69.689,292.209,4.37
539.75,0.236,0.447,64.701,291.952,4.309
540,0.247,0.429,62.434,291.586,4.265
540.25,0.235,0.419,66.56,291.229,4.214
540.5,0.2,0.406,71.053,291.172,4.186
540.75,0.199,0.391,72.758,291.227,4.166
541,0.222,0.42,68.388,292.414,4.17
541.25,0.241,0.411,63.025,292.155,4.262
541.5,0.264,0.397,66.716,292.317,4.338
541.75,0.25,0.412,70.218,292.883,4.398
542,0.238,0.434,72.117,293.349,4.47
542.25,0.225,0.456,72.642,293.62,4.49
542.5,0.218,0.451,72.608,294.183,4.52
542.75,0.22,0.43,71.337,294.647,4.567
543,0.219,0.42,72.919,295.423,4.666
543.25,0.217,0.424,76.114,296.297,4.741
543.5,0.214,0.442,76.703,296.758,4.816
543.75,0.212,0.443,74.193,296.914,4.857
544,0.211,0.435,72.242,296.662,4.88
544.25,0.213,0.448,71.713,296.206,4.858
544.5,0.217,0.462,71.307,295.839,4.844
544.75,0.221,0.465,74.252,295.367,4.858
545,0.22,0.443,77.697,294.402,4.835
545.25,0.219,0.421,77.663,293.617,4.804
545.5,0.216,0.419,78.935,292.949,4.763
545.75,0.208,0.431,79.091,292.378,4.74
546,0.199,0.431,74.72,291.805,4.719
546.25,0.192,0.427,74.068,290.622,4.715
546.5,0.186,0.438,77.015,289.735,4.684
546.75,0.19,0.448,79.527,288.461,4.661
547,0.193,0.45,83.277,287.567,4.623
547.25,0.199,0.431,84.178,286.276,4.593
547.5,0.213,0.409,80.673,285,4.554
547.75,0.226,0.399,78.224,284.422,4.498
548,0.239,0.385,78.255,283.955,4.42
548.25,0.251,0.403,80.955,283.695,4.39
548.5,0.267,0.427,80.059,283.652,4.37
548.75,0.254,0.449,78.166,283.695,4.325
549,0.247,0.427,76.644,283.539,4.313
549.25,0.238,0.409,72.771,283.592,4.366
549.5,0.229,0.397,67.219,284.161,4.486
549.75,0.218,0.41,61.05,285.247,4.75
550,0.229,0.438,55.811,286.857,5.105
550.25,0.201,0.296,56.461,288.252,5.621
550.5,0.175,0.298,66.042,290.479,6.063
550.75,0.145,0.34,74.882,292.792,6.103
551,0.16,0.392,78.387,296.268,5.563
551.25,0.184,0.42,81.084,297.963,5.119
551.5,0.195,0.426,81.732,299.563,4.889
551.75,0.186,0.434,82.138,301.383,4.74
552,0.19,0.437,79.5,303.082,4.545
552.25,0.18,0.417,76.121,305.207,4.342
552.5,0.176,0.394,72.928,307.11,4.123
552.75,0.183,0.421,72.838,309.349,3.858
553,0.181,0.454,74.667,310.635,3.617
553.25,0.173,0.444,78.107,311.711,3.449
553.5,0.169,0.435,80.061,313.328,3.319
553.75,0.176,0.461,81.332,314.51,3.297
554,0.183,0.481,82.17,315.902,3.319
554.25,0.191,0.475,81.766,318.24,3.404
554.5,0.191,0.437,79.255,319.951,3.557
554.75,0.184,0.397,78.854,321.555,3.788
555,0.177,0.399,80.868,322.738,4.047
555.25,0.185,0.421,81.023,323.293,4.221
555.5,0.191,0.441,76.591,324.181,4.085
555.75,0.188,0.455,75.257,324.958,3.816
556,0.179,0.47,78.016,325.731,3.511
556.25,0.178,0.452,78.234,326.619,3.291
556.5,0.195,0.478,74.546,327.593,2.994
556.75,0.226,0.51,75.817,329.296,2.866
557,0.261,0.494,79.136,330.895,3.022
557.25,0.234,0.455,76.563,332.597,3.328
557.5,0.219,0.44,74.237,334.521,3.651
557.75,0.209,0.451,73.523,336.121,3.946
558,0.206,0.449,73.678,338.023,4.234
558.25,0.206,0.435,75.322,341.692,4.341
558.5,0.197,0.428,76.533,346.201,4.37
558.75,0.176,0.44,72.287,349.971,4.466
559,0.186,0.452,67.417,352.807,4.545
559.25,0.204,0.448,62.614,355.442,4.644
559.5,0.23,0.435,57.311,355.913,4.807
559.75,0.25,0.436,55.418,355.029,5.033
560,0.263,0.45,56.317,348.682,5.329
560.25,0.253,0.455,55.981,343.978,5.579
560.5,0.26,0.41,54.768,342.072,6.007
560.75,0.262,0.387,54.739,341.181,6.467
561,0.249,0.365,53.839,340.822,6.783
561.25,0.237,0.338,53.312,340.882,6.726
561.5,0.226,0.34,57.128,341.035,6.462
561.75,0.217,0.372,60.944,341.397,5.923
562,0.213,0.393,62.211,341.768,5.429
562.25,0.211,0.407,63.548,341.815,4.921
562.5,0.205,0.412,64.26,341.552,4.64
562.75,0.189,0.415,64.788,341.193,4.465
563,0.189,0.411,65.687,340.834,4.346
563.25,0.191,0.4,67.142,340.575,4.285
563.5,0.189,0.387,72.694,340.411,4.241
563.75,0.187,0.379,74.089,340.265,4.222
564,0.187,0.396,71.457,340.011,4.241
564.25,0.188,0.402,69.687,340.674,4.206
564.5,0.199,0.41,68.417,341.552,4.147
564.75,0.207,0.431,67.331,341.293,4.12
565,0.198,0.408,65.317,339.897,4.241
565.25,0.186,0.394,61.625,336.65,4.601
565.5,0.2,0.381,56.823,335.256,5.029
565.75,0.217,0.371,56.73,334.072,5.354
566,0.234,0.382,55.706,333.702,5.797
566.25,0.235,0.382,53.007,333.35,6.431
566.5,0.228,0.32,50.682,333.499,7.042
566.75,0.176,0.278,47.923,334.381,7.541
567,0.093,0.297,49.444,335.874,7.477
567.25,0.143,0.341,54.065,337.474,6.867
567.5,0.199,0.394,58.375,339.599,6.167
567.75,0.224,0.416,61.008,341.927,5.579
568,0.238,0.424,57.446,343.634,4.889
568.25,0.26,0.431,54.192,344.918,4.374
568.5,0.289,0.453,58.063,346.002,4.092
568.75,0.298,0.457,58.777,346.573,3.881
569,0.268,0.428,56.769,345.077,3.805
569.25,0.248,0.418,56.112,341.517,3.873
569.5,0.237,0.413,56.638,339.707,4.024
569.75,0.229,0.39,57.106,338.201,4.398
570,0.217,0.364,57.879,336.602,4.898
570.25,0.192,0.346,56.485,335.733,5.235
570.5,0.206,0.374,54.967,335.464,5.419
570.75,0.23,0.426,54.377,335.211,5.355
571,0.246,0.439,55.465,335.169,5.279
571.25,0.256,0.429,58.843,335.315,5.118
571.5,0.257,0.411,66.686,335.468,4.781
571.75,0.249,0.395,61.077,335.724,4.432
572,0.233,0.382,57.695,336.097,4.178
572.25,0.213,0.364,58.787,336.248,4.066
572.5,0.226,0.393,60.305,336.303,4.002
572.75,0.238,0.388,60.705,336.355,3.998
573,0.245,0.394,60.55,336.406,3.994
573.25,0.253,0.407,60.151,336.661,4.006
573.5,0.238,0.438,59.683,336.915,4.07
573.75,0.208,0.424,59.159,337.081,4.237
574,0.187,0.416,57.822,336.716,4.322
574.25,0.187,0.409,52.584,336.556,4.383
574.5,0.206,0.402,52.056,336.822,4.419
574.75,0.222,0.404,57.049,337.185,4.482
575,0.234,0.401,61.854,337.853,4.613
575.25,0.214,0.386,62.444,338.321,4.794
575.5,0.216,0.358,60.059,338.885,4.973
575.75,0.214,0.312,58.043,339.871,5.109
576,0.167,0.278,56.586,340.643,5.279
576.25,0.126,0.341,54.945,340.698,5.444
576.5,0.17,0.371,54.352,340.544,5.584
576.75,0.212,0.387,54.882,340.694,5.579
577,0.227,0.404,56.03,341.065,5.523
577.25,0.237,0.394,57.303,341.129,5.465
577.5,0.227,0.391,57.827,341.378,5.379
577.75,0.21,0.407,56.555,341.432,5.354
578,0.191,0.392,52.556,341.371,5.42
578.25,0.173,0.369,53.95,340.305,5.6
578.5,0.186,0.36,55.225,338.579,5.786
578.75,0.191,0.349,55.998,332.132,5.945
579,0.187,0.343,56.528,327.632,6.04
579.25,0.179,0.348,56.313,324.992,6.046
579.5,0.17,0.375,56.53,324.123,5.995
579.75,0.156,0.393,60.467,323.759,5.802
580,0.177,0.409,64.59,323.288,5.543
580.25,0.188,0.401,64.62,322.511,5.314
580.5,0.196,0.39,60.869,321.23,4.963
580.75,0.206,0.412,59.475,319.928,4.723
581,0.196,0.406,63.667,316.988,4.701
581.25,0.181,0.387,67.787,315.08,4.884
581.5,0.164,0.378,72.651,313.792,5.171
581.75,0.173,0.385,78.081,313.116,5.364
582,0.159,0.389,79.909,312.657,5.378
582.25,0.19,0.405,80.807,312.908,5.235
582.5,0.214,0.394,81.709,313.583,4.945
582.75,0.21,0.39,82.798,314.048,4.723
583,0.197,0.408,83.507,312.962,4.562
583.25,0.206,0.401,83.04,310.322,4.498
583.5,0.213,0.392,78.483,306.758,4.596
583.75,0.204,0.383,75.352,304.64,4.931
584,0.184,0.357,72.472,303.977,5.379
584.25,0.159,0.314,70.083,303.509,5.857
584.5,0.116,0.306,67.384,302.219,6.33
584.75,0.096,0.33,66.609,301.234,6.752
585,0.12,0.326,70.858,300.458,7.297
585.25,0.132,0.308,74.797,299.686,7.74
585.5,0.135,0.312,77.557,299.633,7.909
585.75,0.162,0.334,76.1,299.892,7.698
586,0.179,0.37,74.207,300.777,7.216
586.25,0.205,0.353,71.76,301.655,6.714
586.5,0.192,0.339,68.254,302.433,6.413
586.75,0.185,0.327,68.412,302.992,6.383
587,0.178,0.356,71.48,303.469,6.413
587.25,0.166,0.387,74.302,303.616,6.552
587.5,0.149,0.348,76.069,303.767,6.759
587.75,0.138,0.33,71.263,304.343,6.97
588,0.15,0.345,71.173,304.497,7.229
588.25,0.149,0.318,72.628,304.443,7.456
588.5,0.145,0.301,72.969,304.599,7.533
588.75,0.132,0.337,73.248,305.18,7.484
589,0.143,0.401,75.08,305.631,7.547
589.25,0.184,0.432,77.902,305.786,7.784
589.5,0.177,0.383,76.569,305.633,8.074
589.75,0.156,0.328,71.637,305.273,8.204
590,0.122,0.31,70.619,304.918,8.21
590.25,0.124,0.351,71.763,304.561,8.096
590.5,0.148,0.396,74.837,304.187,7.806
590.75,0.165,0.371,77.592,304.048,7.442
591,0.136,0.355,81.47,304.195,7.394
591.25,0.113,0.368,83.177,304.551,7.401
591.5,0.099,0.344,80.166,305.338,7.619
591.75,0.085,0.326,73.316,306.108,7.99
592,0.072,0.321,70.927,307.714,8.318
592.25,0.075,0.328,73.006,309.106,8.42
592.5,0.087,0.33,77.255,310.496,8.165
592.75,0.111,0.32,80.634,312.202,7.625
593,0.137,0.314,83.703,313.907,6.608
593.25,0.188,0.372,88.137,316.962,5.444
593.5,0.247,0.446,91.703,320.526,4.085
593.75,0.331,0.466,93.408,327.501,3.117
594,0.37,0.479,85.75,339.748,2.474
594.25,0.435,0.507,77.535,359.538,1.927
594.5,0.49,0.548,68.823,381.813,1.727
594.75,0.58,0.579,62.651,411.838,1.622
595,0.562,0.579,63.117,412.407,1.549
595.25,0.551,0.548,66.003,357.163,1.616
595.5,0.587,0.586,67.832,371.168,1.721
595.75,0.528,0.513,78.466,373.707,1.863
596,0.483,0.487,77.323,347.914,2.063
596.25,0.563,0.652,68.111,352.618,2.444
596.5,0.642,0.371,65.544,388.54,2.944
596.75,0.367,0.353,67.243,385.384,3.641
597,0.18,0.367,69.942,361.253,4.265
597.25,0.219,0.39,71.959,330.503,5.071
597.5,0.269,0.4,72.737,343.271,5.764
597.75,0.31,0.403,73.571,344.671,6.046
598,0.28,0.399,74.096,340.378,6.132
598.25,0.221,0.372,74.69,331.645,6.103
598.5,0.187,0.361,74.717,327.355,5.985
598.75,0.21,0.395,75.182,331.022,5.912
599,0.238,0.409,76.022,337.799,5.84
599.25,0.256,0.391,77.602,341.151,5.857
599.5,0.267,0.383,81.913,344.21,6.006
599.75,0.242,0.372,77.727,340.119,6.348
600,0.214,0.366,77.945,330.975,6.679
600.25,0.183,0.346,78.712,322.179,7.157
600.5,0.151,0.323,73.907,317.361,7.5
600.75,0.255,0.297,71.08,317.815,7.185
601,0.314,0.4,69.931,328.493,6.618
601.25,0.349,0.441,72.686,343.715,5.191
601.5,0.358,0.463,77.476,331.577,3.937
601.75,0.338,0.459,81.341,323.455,3.708
602,0.298,0.439,80.874,321.65,3.843
602.25,0.28,0.425,77.987,320.14,4.141
602.5,0.257,0.412,76.71,317.599,4.729
602.75,0.223,0.392,75.867,314.541,5.261
603,0.129,0.346,73.415,310.658,5.842
603.25,0.027,0.416,69.224,306.775,6.134
603.5,0.32,0.443,67.328,302.476,6.111
603.75,0.342,0.437,71.755,320.695,6.021
604,0.303,0.336,76.612,317.122,5.965
604.25,0.212,0.349,79.795,309.112,6.044
604.5,0.156,0.358,82.857,304.296,6.453
604.75,0.107,0.331,85.98,300.002,6.851
605,0.108,0.345,89.351,297.875,7.06
605.25,0.119,0.358,89.439,296.791,6.776
605.5,0.135,0.368,88.532,297.548,6.218
605.75,0.15,0.365,93.824,298.723,5.979
606,0.137,0.342,90.261,298.87,6.092
606.25,0.16,0.366,86.811,299.841,6.529
606.5,0.187,0.365,79.159,302.257,7.498
606.75,0.174,0.328,68.709,302.506,7.99
607,0.191,0.312,57.457,286.953,9.279
607.25,0.212,0.312,50.667,273.467,10.898
607.5,0.204,0.308,46.169,266.49,11.922
607.75,0.199,0.302,41.485,263.849,11.464
608,0.295,0.285,38.907,263.066,8.678
608.25,0.388,0.278,48.97,267.544,6.948
608.5,0.606,0.449,63.865,284.313,5.45
608.75,0.662,0.55,74.98,328.035,4.563
609,0.492,0.467,77.608,328.387,5.02
609.25,0.333,0.393,60.284,309.015,5.885
609.5,0.271,0.348,50.15,289.539,7.269
609.75,0.199,0.336,43.42,268.619,9.114
610,0.18,0.323,36.322,288.383,11.863
610.25,0.208,0.317,31.017,276.036,13.932
610.5,0.224,0.301,27.387,264.517,15.674
610.75,0.211,0.282,28.898,255.365,17.051
611,0.189,0.252,33.136,246.936,17.02
611.25,0.168,0.235,35.518,246.989,14.685
611.5,0.144,0.243,30.895,247.646,12.981
611.75,0.172,0.286,37.921,247.167,11.2
612,0.29,0.376,53.933,246.485,8.967
612.25,0.379,0.344,61.827,245.816,7.78
612.5,0.296,0.322,68.914,245.64,7.008
612.75,0.217,0.307,65.345,245.373,6.126
613,0.175,0.31,55.89,244.999,5.405
613.25,0.202,0.32,53.003,244.222,4.681
613.5,0.225,0.333,52.162,243.958,4.154
613.75,0.238,0.338,50.389,243.892,3.748
614,0.25,0.321,47.379,243.932,3.504
614.25,0.24,0.327,48.023,244.907,3.332
614.5,0.227,0.338,50.466,245.779,3.174
614.75,0.248,0.347,46.773,245.719,3.024
615,0.267,0.345,47.604,245.135,2.974
615.25,0.263,0.332,49.425,244.343,2.974
615.5,0.243,0.312,47.655,243.563,3.03
615.75,0.222,0.299,47.495,242.675,3.169
616,0.249,0.314,50.802,242.197,3.487
616.25,0.237,0.329,55.722,242.761,3.716
616.5,0.196,0.329,59.34,243.114,4.042
616.75,0.165,0.328,62.031,243.151,4.471
617,0.143,0.333,65.399,242.986,5.078
617.25,0.139,0.345,71.063,242.921,5.565
617.5,0.152,0.362,69.416,243.381,6.226
617.75,0.163,0.299,55.066,243.629,6.913
618,0.134,0.273,44.311,244.605,7.634
618.25,0.088,0.221,35.105,244.742,8.653
618.5,0.07,0.228,30.668,244.783,9.29
618.75,0.12,0.297,32.242,245.031,9
619,0.166,0.308,37.161,244.67,8.384
619.25,0.17,0.291,42.642,244.187,7.737
619.5,0.159,0.265,48.8,243.818,7.22
619.75,0.15,0.253,55.703,243.964,6.515
620,0.152,0.278,62.048,244.932,6.103
620.25,0.169,0.3,67.213,246.733,5.858
620.5,0.179,0.324,72.938,250.697,5.804
620.75,0.15,0.338,80.584,251.045,5.902
621,0.154,0.345,61.962,248.82,6.208
621.25,0.164,0.327,56.471,248.346,6.604
621.5,0.174,0.307,56.189,248.075,6.972
621.75,0.181,0.307,61.169,247.298,7.091
622,0.189,0.318,68.38,246.615,6.921
622.25,0.198,0.315,68.777,245.839,6.544
622.5,0.203,0.298,61.676,245.466,6.459
622.75,0.209,0.307,56.002,245.192,6.82
623,0.214,0.317,56.212,244.918,7.308
623.25,0.193,0.289,49.918,244.548,8.424
623.5,0.092,0.192,42.326,244.081,9.638
623.75,0.058,0.154,38.258,244.634,10.583
624,0.031,0.178,38.784,245.711,11.427
624.25,0.016,0.237,42.711,246.158,11.535
624.5,0.047,0.272,49.239,246.207,9.841
624.75,0.094,0.297,57.195,246.039,7.938
625,0.111,0.322,58.396,245.363,6.391
625.25,0.141,0.361,53.53,245.088,5.204
625.5,0.17,0.325,49.526,244.208,4.465
625.75,0.185,0.333,44.904,243.418,4.128
626,0.196,0.325,41.213,242.528,3.889
626.25,0.209,0.276,38.761,242.266,3.76
626.5,0.201,0.276,37.295,242.405,3.789
626.75,0.184,0.307,36.826,242.859,3.941
627,0.198,0.315,38.648,242.605,4.091
627.25,0.208,0.276,44.249,242.441,4.335
627.5,0.193,0.276,54.993,242.684,4.603
627.75,0.169,0.31,63.568,243.037,4.933
628,0.136,0.345,68.982,243.07,5.179
628.25,0.12,0.367,60.582,242.817,5.437
628.5,0.268,0.499,51.439,242.844,5.581
628.75,0.364,0.53,45.328,242.59,5.357
629,0.476,0.467,36.183,242.619,4.665
629.25,0.385,0.355,27.597,242.562,4.086
629.5,0.352,0.31,29.67,242.187,3.598
629.75,0.303,0.289,26.782,242.017,3.14
630,0.276,0.266,22.342,241.867,2.791
630.25,0.249,0.248,21.997,241.792,2.684
630.5,0.225,0.237,25.369,241.633,2.797
630.75,0.196,0.228,36.67,241.676,3.182
631,0.147,0.254,50.821,241.725,3.435
631.25,0.096,0.287,55.184,242.379,3.668
631.5,0.172,0.304,40.772,242.834,3.872
631.75,0.199,0.299,30.761,243.075,3.759
632,0.231,0.292,24.031,243.127,3.501
632.25,0.264,0.293,26.287,243.468,3.411
632.5,0.254,0.312,29.72,243.823,3.515
632.75,0.244,0.311,31.297,244.284,3.676
633,0.23,0.295,32.249,244.94,3.824
633.25,0.221,0.272,34.009,246.429,3.999
633.5,0.325,0.323,38.989,251.733,4.238
633.75,0.49,0.37,45.892,287.916,4.491
634,0.519,0.557,53.29,337.009,4.671
634.25,0.768,0.549,64.653,355.64,4.76
634.5,0.734,0.566,66.973,336.988,4.932
634.75,0.729,0.557,62.475,386.493,5.13
635,0.783,0.536,60.019,349.36,5.237
635.25,0.703,0.546,61.843,309.955,5.247
635.5,0.773,0.539,65.216,311.236,5.045
635.75,0.81,0.576,67.406,356.301,4.771
636,0.461,0.627,68.545,311.529,4.345
636.25,0.323,0.443,60.827,291.122,4.101
636.5,0.256,0.286,50.073,285.489,4.003
636.75,0.241,0.298,39.625,287.29,3.981
637,0.209,0.299,37.605,288.671,4.033
637.25,0.232,0.295,38.814,289.647,4.298
637.5,0.235,0.285,38.089,290.405,4.598
637.75,0.231,0.277,37.127,291.373,5.077
638,0.226,0.272,38.514,292.346,5.523
638.25,0.222,0.297,41.882,294.351,6.26
638.5,0.241,0.402,46.989,296.252,7.016
638.75,0.321,0.433,48.01,297.737,7.893
639,0.435,0.48,46.481,300.266,8.913
639.25,0.451,0.467,43.718,301.748,10.606
639.5,0.488,0.545,42.875,302.51,12.226
639.75,0.315,0.483,41.227,301.109,10.372
640,0.251,0.358,39.148,300.423,7.97
640.25,0.198,0.305,40.596,300.78,6.889
640.5,0.185,0.303,44.901,300.821,6.205
640.75,0.177,0.291,43.312,300.761,5.726
641,0.163,0.281,36.769,300.495,5.558
641.25,0.152,0.283,33.757,300.95,5.548
641.5,0.161,0.298,34.526,301.398,5.528
641.75,0.172,0.295,39.695,301.028,5.426
642,0.183,0.281,38.792,300.345,5.198
642.25,0.201,0.278,36.893,299.975,5.073
642.5,0.198,0.3,36.735,300.945,5.017
642.75,0.206,0.329,36.451,302.742,4.924
643,0.31,0.399,36.287,308.678,4.852
643.25,0.336,0.39,39.349,313.676,4.852
643.5,0.332,0.381,44.704,318.156,4.916
643.75,0.509,0.381,45.471,323.667,6.28
644,0.595,0.535,42.831,322.469,7.487
644.25,0.34,0.24,39.077,297.419,8.777
644.5,0.224,0.203,38.421,280.114,10.004
644.75,0.16,0.152,35.038,269.312,11.255
645,0.004,0.09,29.673,261.816,12.381
645.25,0.01,0.091,29.823,259.588,13.418
645.5,0.018,0.097,31.52,259.529,14.38
645.75,0.021,0.088,31.854,259.575,15.154
646,0.015,0.065,30.642,259.714,15.791
646.25,0.003,0.055,29.116,259.446,16.271
646.5,-0.005,0.053,28.46,259.277,16.517
646.75,-0.005,0.056,27.37,258.502,16.799
647,0.009,0.062,25.415,258.226,16.957
647.25,0.019,0.067,23.64,258.369,17.182
647.5,0.014,0.072,26.889,258.517,17.474
647.75,0.005,0.074,29.639,259.086,17.574
648,-0.011,0.074,31.711,259.426,17.608
648.25,-0.01,0.075,33.344,260.405,17.478
648.5,-0.004,0.079,36.037,261.784,17.22
648.75,0,0.088,38.599,263.173,16.934
649,0.007,0.098,41.662,264.141,16.559
649.25,0.017,0.111,46.21,264.697,15.834
649.5,0.023,0.126,51.129,265.467,14.449
649.75,0.028,0.146,58.34,266.024,12.236
650,0.036,0.166,64.622,266.581,10.576
